index,c,v,t,query
0,1,1,"Blessed is the man that walketh not in the counsel of the ungodly, nor standeth in the way of sinners, nor sitteth in the seat of the scornful.",What qualities characterize a person who avoids the influence of the ungodly?
2,1,3,"And he shall be like a tree planted by the rivers of water, that bringeth forth his fruit in his season; his leaf also shall not wither; and whatsoever he doeth shall prosper.",How does a person who delights in the law of the Lord experience personal growth and success?
3,1,4,The ungodly are not so: but are like the chaff which the wind driveth away.,In what ways are the ungodly compared to chaff in terms of their stability and worth?
5,1,6,For the LORD knoweth the way of the righteous: but the way of the ungodly shall perish.,What is the ultimate fate of those who do not follow the righteous path?
6,2,1,"Why do the heathen rage, and the people imagine a vain thing?",What motivates people to resist authority and challenge established norms?
9,2,4,He that sitteth in the heavens shall laugh: the LORD shall have them in derision.,How does the concept of divine judgment affect the actions of worldly rulers?
15,2,10,"Be wise now therefore, O ye kings: be instructed, ye judges of the earth.",What is the significance of divine kingship in the context of governance and power?
17,2,12,"Kiss the Son, lest he be angry, and ye perish from the way, when his wrath is kindled but a little. Blessed are all they that put their trust in him.",What consequences might arise from rejecting a higher moral authority?
19,3,2,"Many there be which say of my soul, There is no help for him in God. Selah.",How can a person find strength and comfort during times of distress?
22,3,5,I laid me down and slept; I awaked; for the LORD sustained me.,What role does faith play in overcoming fear of adversity?
24,3,7,"Arise, O LORD; save me, O my God: for thou hast smitten all mine enemies upon the cheek bone; thou hast broken the teeth of the ungodly.",How does personal integrity influence one's standing in times of trouble?
28,4,3,But know that the LORD hath set apart him that is godly for himself: the LORD will hear when I call unto him.,What psychological effects can distress have on a person’s well-being?
35,5,2,"Hearken unto the voice of my cry, my King, and my God: for unto thee will I pray.",What motivates individuals to act unjustly against others?
40,5,7,"But as for me, I will come into thy house in the multitude of thy mercy: and in thy fear will I worship toward thy holy temple.",How can trust in a higher power provide reassurance in difficult situations?
44,5,11,"But let all those that put their trust in thee rejoice: let them ever shout for joy, because thou defendest them: let them also that love thy name be joyful in thee.",What consequences might arise from denying one’s own wrongdoing?
47,6,2,"Have mercy upon me, O LORD; for I am weak: O LORD, heal me; for my bones are vexed.",How does personal righteousness shape one's interactions with others?
51,6,6,I am weary with my groaning; all the night make I my bed to swim; I water my couch with my tears.,What lessons can be learned from the failures of those who engage in deceitful practices?
57,7,2,"Lest he tear my soul like a lion, rending it in pieces, while there is none to deliver.",How can faith offer support during moments of despair?
59,7,4,"If I have rewarded evil unto him that was at peace with me; (yea, I have delivered him that without cause is mine enemy:)",In what ways can hope for justice provide strength in times of trouble?
102,10,1,"Why standest thou afar off, O LORD? why hidest thou thyself in times of trouble?",How can I seek justice in a world where the wicked seem to prosper?
103,10,2,The wicked in his pride doth persecute the poor: let them be taken in the devices that they have imagined.,What can I do to remind myself of my own humanity in the face of pride and oppression?
104,10,3,"For the wicked boasteth of his heart's desire, and blesseth the covetous, whom the LORD abhorreth.",How do I cope with feelings of abandonment during difficult times?
105,10,4,"The wicked, through the pride of his countenance, will not seek after God: God is not in all his thoughts.",What steps can I take to stand up for those who are vulnerable?
106,10,5,"His ways are always grievous; thy judgments are far above out of his sight: as for all his enemies, he puffeth at them.",How does pride impact one's ability to seek help or acknowledge wrongs?
107,10,6,"He hath said in his heart, I shall not be moved: for I shall never be in adversity.",In what ways can a person remain humble in a competitive environment?
109,10,8,He sitteth in the lurking places of the villages: in the secret places doth he murder the innocent: his eyes are privily set against the poor.,How can I be a protector for those who cannot defend themselves?
113,10,12,"Arise, O LORD; O God, lift up thine hand: forget not the humble.",What does it mean to trust in a higher power when faced with adversity?
116,10,15,Break thou the arm of the wicked and the evil man: seek out his wickedness till thou find none.,How can I stay grounded and not lose hope in a corrupt world?
120,11,1,"In the LORD put I my trust: how say ye to my soul, Flee as a bird to your mountain?",How can I maintain integrity in a society that often rewards deceit?
122,11,3,"If the foundations be destroyed, what can the righteous do?",What strategies can I use to discern genuine intentions from flattery?
124,11,5,The LORD trieth the righteous: but the wicked and him that loveth violence his soul hateth.,How can I actively support those who are oppressed in my community?
128,12,2,They speak vanity every one with his neighbour: with flattering lips and with a double heart do they speak.,What does it mean to have faith in difficult circumstances?
131,12,5,"For the oppression of the poor, for the sighing of the needy, now will I arise, saith the LORD; I will set him in safety from him that puffeth at him.",How can I express my gratitude for the good in my life?
132,12,6,"The words of the LORD are pure words: as silver tried in a furnace of earth, purified seven times.",What can I learn from those who deny the existence of a higher power?
133,12,7,"Thou shalt keep them, O LORD, thou shalt preserve them from this generation for ever.",How can I seek knowledge and understanding in my daily life?
135,13,1,"How long wilt thou forget me, O LORD? for ever? how long wilt thou hide thy face from me?",What qualities should I strive for to feel a sense of belonging?
137,13,3,"Consider and hear me, O LORD my God: lighten mine eyes, lest I sleep the sleep of death;",How do my actions and values reflect my character to others?
141,14,1,"The fool hath said in his heart, There is no God. They are corrupt, they have done abominable works, there is none that doeth good.",What does it mean to find strength in vulnerability?
142,14,2,"The LORD looked down from heaven upon the children of men, to see if there were any that did understand, and seek God.",How can I maintain hope when facing overwhelming challenges?
146,14,6,"Ye have shamed the counsel of the poor, because the LORD is his refuge.",How do I find courage in my darkest moments?
150,15,3,"He that backbiteth not with his tongue, nor doeth evil to his neighbour, nor taketh up a reproach against his neighbour.",How can I navigate my emotions when feeling threatened?
151,15,4,"In whose eyes a vile person is contemned; but he honoureth them that fear the LORD. He that sweareth to his own hurt, and changeth not.",What role does community play in overcoming personal trials?
152,15,5,"He that putteth not out his money to usury, nor taketh reward against the innocent. He that doeth these things shall never be moved.",How can I balance my own needs with those of others in crisis situations?
153,16,1,"Preserve me, O God: for in thee do I put my trust.",How can I stay resilient in the face of betrayal or disappointment?
156,16,4,"Their sorrows shall be multiplied that hasten after another god: their drink offerings of blood will I not offer, nor take up their names into my lips.",What does it mean to feel truly safe and supported?
199,18,21,"For I have kept the ways of the LORD, and have not wickedly departed from my God.",How can I ensure that my actions align with my values and beliefs?
201,18,23,"I was also upright before him, and I kept myself from mine iniquity.",What does it mean to be rewarded for living righteously?
203,18,25,With the merciful thou wilt shew thyself merciful; with an upright man thou wilt shew thyself upright;,How can I cultivate a merciful attitude towards others?
204,18,26,With the pure thou wilt shew thyself pure; and with the froward thou wilt shew thyself froward.,What steps can I take to find light in dark times?
208,18,30,"As for God, his way is perfect: the word of the LORD is tried: he is a buckler to all those that trust in him.",How can I overcome challenges and feel empowered?
210,18,32,"It is God that girdeth me with strength, and maketh my way perfect.",In what ways can I show gratitude for the support I receive?
215,18,37,"I have pursued mine enemies, and overtaken them: neither did I turn again till they were consumed.",How can I maintain my composure in the face of conflict?
223,18,45,"The strangers shall fade away, and be afraid out of their close places.",What does it mean to feel delivered from hardship?
230,19,2,"Day unto day uttereth speech, and night unto night sheweth knowledge.",How do the wonders of nature reflect a higher purpose?
234,19,6,"His going forth is from the end of the heaven, and his circuit unto the ends of it: and there is nothing hid from the heat thereof.",What lessons can I draw from the perfection of moral laws?
239,19,11,Moreover by them is thy servant warned: and in keeping of them there is great reward.,How can I recognize and learn from my own mistakes?
241,19,13,"Keep back thy servant also from presumptuous sins; let them not have dominion over me: then shall I be upright, and I shall be innocent from the great transgression.",How do I cultivate thoughts and words that reflect my values?
243,20,1,The LORD hear thee in the day of trouble; the name of the God of Jacob defend thee;,How can I find strength in times of trouble?
245,20,3,"Remember all thy offerings, and accept thy burnt sacrifice; Selah.",What role does community play in supporting each other?
246,20,4,"Grant thee according to thine own heart, and fulfil all thy counsel.",How can I stay hopeful despite feeling overwhelmed?
254,21,3,For thou preventest him with the blessings of goodness: thou settest a crown of pure gold on his head.,How can I express my faith when faced with doubt or ridicule?
257,21,6,For thou hast made him most blessed for ever: thou hast made him exceeding glad with thy countenance.,What does it mean to be truly vulnerable and rely on support?
261,21,10,"Their fruit shalt thou destroy from the earth, and their seed from among the children of men.",How can I turn my struggles into opportunities for growth?
267,22,3,"But thou art holy, O thou that inhabitest the praises of Israel.",How can I find comfort in my faith during difficult times?
269,22,5,"They cried unto thee, and were delivered: they trusted in thee, and were not confounded.",What does it mean to find satisfaction in serving others?
296,23,1,The LORD is my shepherd; I shall not want.,How can I experience peace and restoration in my life?
299,23,4,"Yea, though I walk through the valley of the shadow of death, I will fear no evil: for thou art with me; thy rod and thy staff they comfort me.",What strategies can help me navigate fear during challenging moments?
300,23,5,Thou preparest a table before me in the presence of mine enemies: thou anointest my head with oil; my cup runneth over.,How can someone feel blessed even in the presence of their adversaries?
301,23,6,Surely goodness and mercy shall follow me all the days of my life: and I will dwell in the house of the LORD for ever.,What brings a sense of comfort and hope throughout one’s life?
302,24,1,"The earth is the LORD's, and the fulness thereof; the world, and they that dwell therein.","Who owns everything on Earth, including the people living on it?"
304,24,3,Who shall ascend into the hill of the LORD? or who shall stand in his holy place?,What kind of person is worthy of standing in a place of honor or spiritual significance?
305,24,4,"He that hath clean hands, and a pure heart; who hath not lifted up his soul unto vanity, nor sworn deceitfully.",What personal qualities are associated with being upright and truthful?
309,24,8,"Who is this King of glory? The LORD strong and mighty, the LORD mighty in battle.",What qualities make someone a strong and victorious leader?
313,25,2,"O my God, I trust in thee: let me not be ashamed, let not mine enemies triumph over me.",How can someone face enemies without being overwhelmed by shame?
315,25,4,"Shew me thy ways, O LORD; teach me thy paths.",How can one ask for guidance when uncertain about the right path?
318,25,7,"Remember not the sins of my youth, nor my transgressions: according to thy mercy remember thou me for thy goodness' sake, O LORD.",How can people ask for forgiveness for past mistakes?
320,25,9,The meek will he guide in judgment: and the meek will he teach his way.,What kind of people are most likely to receive guidance during tough decisions?
325,25,14,The secret of the LORD is with them that fear him; and he will shew them his covenant.,How can someone feel connected to deeper truths or hidden insights?
328,25,17,The troubles of my heart are enlarged: O bring thou me out of my distresses.,What can someone do when they feel overwhelmed by emotional burdens?
332,25,21,Let integrity and uprightness preserve me; for I wait on thee.,How can values like integrity and honesty provide stability during difficult times?
335,26,2,"Examine me, O LORD, and prove me; try my reins and my heart.",What might someone say when asking for an honest evaluation of their intentions and character?
338,26,5,I have hated the congregation of evil doers; and will not sit with the wicked.,What motivates someone to avoid the company of dishonest or harmful people?
346,27,1,The LORD is my light and my salvation; whom shall I fear? the LORD is the strength of my life; of whom shall I be afraid?,What helps someone stay fearless even in the face of dangerous situations?
348,27,3,"Though an host should encamp against me, my heart shall not fear: though war should rise against me, in this will I be confident.",How can a person stay confident when surrounded by hostility or threats?
349,27,4,"One thing have I desired of the LORD, that will I seek after; that I may dwell in the house of the LORD all the days of my life, to behold the beauty of the LORD, and to enquire in his temple.",What might someone seek to bring them peace and fulfillment for their whole life?
351,27,6,"And now shall mine head be lifted up above mine enemies round about me: therefore will I offer in his tabernacle sacrifices of joy; I will sing, yea, I will sing praises unto the LORD.",What can lift someone’s spirits and inspire joy in the midst of challenges?
400,31,9,"Have mercy upon me, O LORD, for I am in trouble: mine eye is consumed with grief, yea, my soul and my belly.",What does someone ask for when they feel overwhelmed by emotional and physical distress?
401,31,10,"For my life is spent with grief, and my years with sighing: my strength faileth because of mine iniquity, and my bones are consumed.",How can guilt and personal mistakes drain a person’s strength?
403,31,12,I am forgotten as a dead man out of mind: I am like a broken vessel.,How does it feel to be abandoned and forgotten by others?
404,31,13,"For I have heard the slander of many: fear was on every side: while they took counsel together against me, they devised to take away my life.",What kind of fear arises from hearing slander and knowing others are plotting against you?
406,31,15,"My times are in thy hand: deliver me from the hand of mine enemies, and from them that persecute me.",How does trusting in divine timing bring a sense of relief during difficult times?
407,31,16,Make thy face to shine upon thy servant: save me for thy mercies' sake.,What does it mean to ask for divine favor in the midst of trouble?
409,31,18,Let the lying lips be put to silence; which speak grievous things proudly and contemptuously against the righteous.,What do people wish for when they ask for the silence of deceitful voices?
415,31,24,"Be of good courage, and he shall strengthen your heart, all ye that hope in the LORD.",How can courage and hope provide strength during challenging moments?
416,32,1,"Blessed is he whose transgression is forgiven, whose sin is covered.",What kind of happiness comes from being forgiven for past mistakes?
418,32,3,"When I kept silence, my bones waxed old through my roaring all the day long.",How does staying silent about guilt impact a person physically and emotionally?
420,32,5,"I acknowledge my sin unto thee, and mine iniquity have I not hid. I said, I will confess my transgressions unto the LORD; and thou forgavest the iniquity of my sin. Selah.",What happens when someone decides to confess their mistakes openly?
422,32,7,Thou art my hiding place; thou shalt preserve me from trouble; thou shalt compass me about with songs of deliverance. Selah.,How does the idea of being hidden and protected provide comfort in times of trouble?
423,32,8,I will instruct thee and teach thee in the way which thou shalt go: I will guide thee with mine eye.,What kind of guidance do people seek to stay on the right path in life?
425,32,10,"Many sorrows shall be to the wicked: but he that trusteth in the LORD, mercy shall compass him about.",How is trust in mercy associated with emotional relief and protection from sorrow?
430,33,4,For the word of the LORD is right; and all his works are done in truth.,How do the earth’s wonders reflect a sense of divine goodness?
432,33,6,By the word of the LORD were the heavens made; and all the host of them by the breath of his mouth.,How were the heavens and everything in them brought into existence?
435,33,9,"For he spake, and it was done; he commanded, and it stood fast.",What does it mean for someone to stand in awe of the power of spoken words?
436,33,10,The LORD bringeth the counsel of the heathen to nought: he maketh the devices of the people of none effect.,How can the plans of people be frustrated by a higher force?
441,33,15,He fashioneth their hearts alike; he considereth all their works.,"What does it mean for every person to be observed and understood, no matter their position?"
442,33,16,There is no king saved by the multitude of an host: a mighty man is not delivered by much strength.,Why is relying on power and strength often a false sense of security?
444,33,18,"Behold, the eye of the LORD is upon them that fear him, upon them that hope in his mercy;",What kind of hope brings comfort during times of need and scarcity?
449,34,1,I will bless the LORD at all times: his praise shall continually be in my mouth.,How can constant praise bring joy to a person’s life?
452,34,4,"I sought the LORD, and he heard me, and delivered me from all my fears.",How does seeking help alleviate fear and bring peace of mind?
453,34,5,"They looked unto him, and were lightened: and their faces were not ashamed.",What happens to someone’s outlook when they find relief from distress?
500,36,2,"For he flattereth himself in his own eyes, until his iniquity be found to be hateful.",How does self-deception prevent a person from recognizing their faults?
501,36,3,"The words of his mouth are iniquity and deceit: he hath left off to be wise, and to do good.",What happens when someone abandons wisdom and goodness?
503,36,5,"Thy mercy, O LORD, is in the heavens; and thy faithfulness reacheth unto the clouds.",How is divine mercy described as reaching beyond human understanding?
505,36,7,"How excellent is thy lovingkindness, O God! therefore the children of men put their trust under the shadow of thy wings.",What comfort comes from trusting in divine care and protection?
507,36,9,For with thee is the fountain of life: in thy light shall we see light.,How does recognizing divine kindness inspire trust among people?
511,37,1,"Fret not thyself because of evildoers, neither be thou envious against the workers of iniquity.",Why shouldn't people be envious of those who commit wrongs?
513,37,3,"Trust in the LORD, and do good; so shalt thou dwell in the land, and verily thou shalt be fed.",How can trust in a higher power lead to personal fulfillment?
514,37,4,Delight thyself also in the LORD: and he shall give thee the desires of thine heart.,What does it mean to delight in divine guidance and receive the desires of one's heart?
518,37,8,"Cease from anger, and forsake wrath: fret not thyself in any wise to do evil.",Why is patience important when witnessing the success of the wicked?
521,37,11,But the meek shall inherit the earth; and shall delight themselves in the abundance of peace.,How does humility bring lasting peace and abundance?
524,37,14,"The wicked have drawn out the sword, and have bent their bow, to cast down the poor and needy, and to slay such as be of upright conversation.",How does wickedness eventually turn back on those who plot harm?
526,37,16,A little that a righteous man hath is better than the riches of many wicked.,Why is a righteous life with little more valuable than the riches of the wicked?
528,37,18,The LORD knoweth the days of the upright: and their inheritance shall be for ever.,"What kind of inheritance do the upright receive, especially in hard times?"
533,37,23,The steps of a good man are ordered by the LORD: and he delighteth in his way.,"How does divine guidance keep a person from falling, even during hardships?"
535,37,25,"I have been young, and now am old; yet have I not seen the righteous forsaken, nor his seed begging bread.","What does it mean that the righteous are never abandoned, even in old age?"
540,37,30,"The mouth of the righteous speaketh wisdom, and his tongue talketh of judgment.",Why is wisdom on the lips of the righteous essential for navigating life?
544,37,34,"Wait on the LORD, and keep his way, and he shall exalt thee to inherit the land: when the wicked are cut off, thou shalt see it.",How does waiting on divine timing lead to eventual triumph over wickedness?
545,37,35,"I have seen the wicked in great power, and spreading himself like a green bay tree.",What lesson can be learned from seeing the downfall of someone who once seemed powerful?
551,38,1,"O lord, rebuke me not in thy wrath: neither chasten me in thy hot displeasure.",What impact does divine rebuke have on a person's physical and emotional well-being?
554,38,4,For mine iniquities are gone over mine head: as an heavy burden they are too heavy for me.,How do personal mistakes feel like a heavy burden that overwhelms the mind?
556,38,6,I am troubled; I am bowed down greatly; I go mourning all the day long.,What causes deep mourning and sorrow in someone struggling with guilt?
588,40,3,"And he hath put a new song in my mouth, even praise unto our God: many shall see it, and fear, and shall trust in the LORD.",How does divine help offer comfort to those in need?
598,40,13,"Be pleased, O LORD, to deliver me: O LORD, make haste to help me.",What consequences might people face for mocking others?
602,40,17,"But I am poor and needy; yet the Lord thinketh upon me: thou art my help and my deliverer; make no tarrying, O my God.",What might a person feel if they are poor and in need?
603,41,1,Blessed is he that considereth the poor: the LORD will deliver him in time of trouble.,What are the benefits of caring for the poor?
605,41,3,The LORD will strengthen him upon the bed of languishing: thou wilt make all his bed in his sickness.,How can someone be strengthened during times of illness?
607,41,5,"Mine enemies speak evil of me, When shall he die, and his name perish?",How might enemies talk behind someone's back?
611,41,9,"Yea, mine own familiar friend, in whom I trusted, which did eat of my bread, hath lifted up his heel against me.",How do enemies devise harm through gossip?
613,41,11,"By this I know that thou favourest me, because mine enemy doth not triumph over me.",How might betrayal feel when it comes from a trusted friend?
614,41,12,"And as for me, thou upholdest me in mine integrity, and settest me before thy face for ever.",What might a person desire after being wronged by others?
616,42,1,"As the hart panteth after the water brooks, so panteth my soul after thee, O God.","How does someone long for something essential, like water?"
618,42,3,"My tears have been my meat day and night, while they continually say unto me, Where is thy God?",How can sorrow consume a person throughout the day?
620,42,5,"Why art thou cast down, O my soul? and why art thou disquieted in me? hope thou in God: for I shall yet praise him for the help of his countenance.",Why might someone question their own sadness and seek comfort?
622,42,7,Deep calleth unto deep at the noise of thy waterspouts: all thy waves and thy billows are gone over me.,How can overwhelming emotions feel like being overcome by nature?
624,42,9,"I will say unto God my rock, Why hast thou forgotten me? why go I mourning because of the oppression of the enemy?",What could make someone feel abandoned in times of oppression?
625,42,10,"As with a sword in my bones, mine enemies reproach me; while they say daily unto me, Where is thy God?",How does constant ridicule from enemies affect a person?
627,43,1,"Judge me, O God, and plead my cause against an ungodly nation: O deliver me from the deceitful and unjust man.",What might someone ask when facing injustice from others?
629,43,3,"O send out thy light and thy truth: let them lead me; let them bring me unto thy holy hill, and to thy tabernacles.",How can light and truth guide someone to where they need to be?
632,44,1,"We have heard with our ears, O God, our fathers have told us, what work thou didst in their days, in the times of old.",What can we learn from stories passed down through generations?
634,44,3,"For they got not the land in possession by their own sword, neither did their own arm save them: but thy right hand, and thine arm, and the light of thy countenance, because thou hadst a favour unto them.",What historical events show people being driven from their lands?
637,44,6,"For I will not trust in my bow, neither shall my sword save me.",How can people win battles without relying on their own strength?
641,44,10,Thou makest us to turn back from the enemy: and they which hate us spoil for themselves.,How does it feel when efforts lead to defeat instead of victory?
642,44,11,Thou hast given us like sheep appointed for meat; and hast scattered us among the heathen.,What does it feel like to be scattered among unfamiliar people?
644,44,13,"Thou makest us a reproach to our neighbours, a scorn and a derision to them that are round about us.",How does it feel to be ridiculed by neighboring countries?
648,44,17,"All this is come upon us; yet have we not forgotten thee, neither have we dealt falsely in thy covenant.",What might cause someone to feel constant shame and confusion?
655,44,24,"Wherefore hidest thou thy face, and forgettest our affliction and our oppression?",Why would someone cry out for help when they feel completely broken?
658,45,1,My heart is inditing a good matter: I speak of the things which I have made touching the king: my tongue is the pen of a ready writer.,How might a person feel inspired to share their thoughts about someone in power?
660,45,3,"Gird thy sword upon thy thigh, O most mighty, with thy glory and thy majesty.",What qualities define a strong and majestic leader?
662,45,5,Thine arrows are sharp in the heart of the king's enemies; whereby the people fall under thee.,How can a sharp weapon symbolize strength in a leader’s hands?
664,45,7,"Thou lovest righteousness, and hatest wickedness: therefore God, thy God, hath anointed thee with the oil of gladness above thy fellows.",What does it mean for someone to value righteousness and hate wickedness?
670,45,13,The king's daughter is all glorious within: her clothing is of wrought gold.,How might someone experience joy as they approach a grand and joyful event?
675,46,1,"God is our refuge and strength, a very present help in trouble.",What does it mean to find strength and security in times of trouble?
676,46,2,"Therefore will not we fear, though the earth be removed, and though the mountains be carried into the midst of the sea;",How can we remain calm when facing massive upheavals in life?
680,46,6,"The heathen raged, the kingdoms were moved: he uttered his voice, the earth melted.",What kind of peace can people find when surrounded by chaos?
683,46,9,"He maketh wars to cease unto the end of the earth; he breaketh the bow, and cutteth the spear in sunder; he burneth the chariot in the fire.",How can we understand the impact of wars coming to an end?
684,46,10,"Be still, and know that I am God: I will be exalted among the heathen, I will be exalted in the earth.",What might it mean to simply stop and reflect in moments of crisis?
686,47,1,"O clap your hands, all ye people; shout unto God with the voice of triumph.",How can people express collective joy and triumph?
690,47,5,"God is gone up with a shout, the LORD with the sound of a trumpet.",How can music and praise bring people together in celebration?
692,47,7,For God is the King of all the earth: sing ye praises with understanding.,What does it mean for a higher power to reign over nations?
695,48,1,"Great is the LORD, and greatly to be praised in the city of our God, in the mountain of his holiness.",Why is the city of God considered a place of beauty and significance?
698,48,4,"For, lo, the kings were assembled, they passed by together.",What causes people to marvel and retreat when faced with something powerful?
700,48,6,"Fear took hold upon them there, and pain, as of a woman in travail.",What metaphor describes the intense pain or fear someone is feeling?
701,48,7,Thou breakest the ships of Tarshish with an east wind.,What natural force caused the destruction of the ships of Tarshish?
706,48,12,"Walk about Zion, and go round about her: tell the towers thereof.",Why should the daughters of Judah rejoice?
707,48,13,"Mark ye well her bulwarks, consider her palaces; that ye may tell it to the generation following.",What activity is recommended to reflect on the strength and beauty of Zion?
711,49,3,My mouth shall speak of wisdom; and the meditation of my heart shall be of understanding.,Why is it pointless to fear during difficult times?
718,49,10,"For he seeth that wise men die, likewise the fool and the brutish person perish, and leave their wealth to others.",What is the folly of those who believe their wealth and homes will last forever?
724,49,16,"Be not thou afraid when one is made rich, when the glory of his house is increased;",What is a person compared to when they do not understand their own mortality?
725,49,17,For when he dieth he shall carry nothing away: his glory shall not descend after him.,What happens to a person's wealth and glory after they die?
728,49,20,"Man that is in honour, and understandeth not, is like the beasts that perish.",How is a person who has honor but no understanding compared to a beast?
